address,latitude,longitude,name,state,city
2555 11th Avenue,40.39629,-104.69699,Carl's Jr.,CO,Greeley
2513 Highway 6 And 50,39.08135,-108.58689,Del Taco,CO,Grand Junction
1125 Patterson Road,39.09148,-108.55411000000001,Which Wich,CO,Grand Junction
3455 N Salida Court,39.763690000000004,-104.77671,Chipotle Mexican Grill,CO,Aurora
5225 E Colfax Avenue,39.74044,-104.92636,Taco Bell,CO,Denver
1350 W Colfax Avenue,39.739670000000004,-105.00466999999999,McDonald's,CO,Denver
200 16th Street,39.7417,-104.98828999999999,McDonald's,CO,Denver
1772 N College Ave,36.085369,-94.15531899999999,Taco Bell,AR,Fayetteville
605 S Havana Street,39.70534,-104.86633,Captain D's Seafood Kitchen,CO,Aurora
16th Glenarm Place,39.749107,-104.99458999999999,Shondiz,CO,Denver
201 W Fillmore Street,38.87469,-104.8257,Cook-Out,CO,Colorado Springs
1560 Briargate Boulevard,38.945809999999994,-104.79873,Steak 'n Shake,CO,Colorado Springs
1916 Southgate Rd Space E8a,38.80491,-104.81956,QDOBA Mexican Eats,CO,Colorado Springs
7140 N Academy Blvd Space B4,38.936040000000006,-104.79854,QDOBA Mexican Eats,CO,Colorado Springs
11410 N Rodney Parham Rd,34.772621,-92.400605,Burger King,AR,Little Rock
1111 Highway 62 65 N,36.2597,-93.1265,Hardee's,AR,Harrison
211 Thorsheim St,57.791026,-152.40676000000002,Shelikof Lodge Restaurant,AK,Kodiak
2417 Tongass Ave Ste 120,55.3484,-131.67413,Taco Time,AK,Ketchikan
2695 Mill Bay Rd,57.80987,-152.36508,Taco Bell,AK,Kodiak
209 N Santa Claus Ln,64.75607600000001,-147.35411000000002,Taco Bell,AK,North Pole
808 Water St,55.3445,-131.6533,Pizza Mill,AK,Ketchikan
10160 Kenai Spur Hwy,60.56100000000001,-151.22925,Pizza Hut,AK,Kenai
1991 Airport Way,64.8373,-147.7606,Pizza Hut,AK,Fairbanks
1553 Bragaw St,61.2076,-149.8035,Sweet Pink Pepper,AK,Anchorage
810 Row River Rd,43.800839,-123.039401,Arby's,OR,Cottage Grove
198 Central Avenue,41.03715,-73.77877,Nathan's Famous Hot Dogs,NY,White Plains
1914 Adams Ave,45.3222,-118.0848,Moy's Dynasty Restaurant,OR,La Grande
8429 W Center Rd,41.233837,-96.04496,Arby's,NE,Omaha
1808 Ashville Road,33.561840000000004,-86.52249,Chick-fil-A,AL,Leeds
303 9th Ave SW,32.88285,-85.40805,Jack's Family Restaurants,AL,Lafayette
503 1st Ave W,33.380990000000004,-88.02008000000001,Jack's Family Restaurants,AL,Reform
302 W Bypass,31.30987,-86.49962,Subway,AL,Andalusia
5356 Highway 67 S,34.44567,-86.75545,Krispy Krunchy Chicken,AL,Somerville
9433 Highway 431 S,34.570640000000004,-86.44759,Subway,AL,Owens Cross Roads
505 E Cumming Avenue,31.280009999999997,-86.25010999999999,Burger King,AL,Opp
910 2nd Ave E,33.95433,-86.46733,Kfc,AL,Oneonta
639 Northgate Dr NW,34.33266,-86.50455,Pizza Hut,AL,Arab
1624 Temple Ave N,33.70698,-87.82406,Pizza Hut,AL,Fayette
6707 Highway 431 S Ste 104,34.659009999999995,-86.48167,Subway,AL,Owens Cross Roads
7290 Us Highway 43,33.966409999999996,-87.91083,Jack's,AL,Guin
1001 Fort Dale Road,31.85179,-86.64201,Bates House Of Turkey Inc,AL,Greenville
9400 Grand Bay Wilmer Rd S,30.49509,-88.33755,Hardee's,AL,Grand Bay
890 Odum Road,33.646770000000004,-86.8234,McDonald's,AL,Gardendale
1020 Decatur HWay,33.65271,-86.8105,Sonic Drive-In,AL,Gardendale
704 Highway 28 W,32.6243,-88.20631999999999,McDonald's,AL,Livingston
423 Highway 28 W,32.621109999999994,-88.1965,Pizza Hut,AL,Livingston
527 Bald Eagle Dr,25.9509,-81.7228,Kretch's Restaurant,FL,Marco Island
720 Main St NE,34.07124,-86.77643,Subway,AL,Hanceville
1108 21st Street,34.2277,-87.62024,Jack's,AL,Haleyville
7909 Crestwood Boulevard,33.53055,-86.71381,Kfc,AL,Birmingham
325 S Eufaula Avenue,31.890559999999997,-85.14549,Church's Chicken,AL,Eufaula
113 Will Garrett Road,32.4116,-88.50533,Arby's,MS,Toomsuba
930 N Washington Street,32.60197,-88.18293,Sonic Drive-In,AL,Livingston
5375 Highway 68 W,34.267956,-85.86197,Jack's Family Restaurants,AL,Collinsville
1655 W Main Street,34.15898,-85.70809,Sonic Drive-In,AL,Centre
650 Cedar Bluff Road,34.16017,-85.6682,McDonald's,AL,Centre
5094 Louina Road,33.11864,-85.45195,Big Boys,AL,Roanoke
801 Us Highway 80 W,32.497890000000005,-87.84711,Jack's Family Restaurants,AL,Demopolis
55 Birmingham Road,32.950325,-87.11924,Jack's Family Restaurants,AL,Centreville
3821 Airport Blvd,30.6758,-88.1419,Bangkok Thai Cuisine,AL,Mobile
5535 15th Ave E,33.1565,-87.5163,Dreamland Bar B Que,AL,Tuscaloosa
2400 6th Ave Se,34.564526,-86.972877,Alfonso's Pizza Italian Restaurant,AL,Decatur
45 Lakeview Circle,31.105999999999998,-87.47561,Sonic Drive-In,AL,Atmore
202 Memorial Pkwy NE,33.127340000000004,-88.14985,Jack's Family Restaurants,AL,Aliceville
5707 Veterans Memorial Drive,33.60968,-86.96368000000001,Jack's Family Restaurants,AL,Adamsville
160 Vaughan Lane,33.60972,-86.28005,Arby's,AL,Pell City
1104 2nd Ave E,33.95857,-86.46367,Dairy Queen,AL,Oneonta
18 Big Valley Drive,33.78078,-85.89649,Jack's Family Restaurants,AL,Alexandria
7750 Airport Boulevard,30.684209999999997,-88.22378,Arby's,AL,Mobile
100 N Craft HWay,30.761640000000003,-88.07332,Whataburger,AL,Mobile
5192 Caldwell Mill Road,33.3848,-86.73919000000001,Taco Bell,AL,Birmingham
136 Marketplace Cir Ste C,33.15574,-86.74734000000001,Pizza Hut,AL,Calera
113 Greenhill Blvd NW,34.466440000000006,-85.70053,Jack's Family Restaurants,AL,Fort Payne
